Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad_Jump,3Cone,Shuttle,Draft_Pick
Jack Allen,C,Michigan State,73,294,5.29,26.5,23,101,7.9,4.73,-1
Willie Beavers,OT,West. Michigan,77,321,5.28,25.5,20,103,7.96,4.71,121
Caleb Benenoch,OT,UCLA,77,311,4.98,28,,104,8.15,5.11,148
Austin Blythe,C,Iowa,74,298,5.36,27.5,29,99,7.52,4.53,248
Evan Boehm,C,Missouri,74,302,5.33,28.5,24,96,7.52,4.69,128
Jake Brendel,C,UCLA,75,303,5.01,28,25,108,7.31,4.27,-1
Joseph Cheek,OG,Texas A&M,78,295,5.27,,20,,,,-1
Le'Raven Clark,OT,Texas Tech,77,316,5.16,,18,,,,82
Shon Coleman,OT,Auburn,77,307,5.18,,22,,,,76
Jack Conklin,OT,Michigan State,78,308,5,30,25,103,7.63,4.57,8
Fahn Cooper,OT,Mississippi,76,303,5.17,25,19,102,7.85,4.89,174
Joe Dahl,OT,Washington State,76,304,5.18,31,28,109,7.64,4.77,151
Taylor Decker,OT,Ohio State,79,310,5.23,29,20,101,7.7,4.76,16
Spencer Drango,OT,Baylor,78,315,5.27,27,30,100,7.88,4.66,168
Parker Ehinger,OT,Cincinnati,78,310,5.26,27.5,,97,,,105
Joshua Garnett,OG,Stanford,76,312,5.32,29,30,99,7.62,4.64,28
Graham Glasgow,C,Michigan,78,307,5.13,25,23,106,7.63,4.63,95
Darrell Greene,OG,San Diego State,75,321,5.2,21.5,28,98,8.07,4.98,-1
Joe Haeg,OT,North Dakota State,78,304,5.16,27.5,,111,7.47,4.47,155
Jerald Hawkins,OT,LSU,78,305,5.23,23.5,23,100,8.19,4.89,123
Germain Ifedi,OT,Texas A&M,78,324,5.27,32.5,24,109,,4.75,31
Dominick Jackson,OT,Alabama,77,313,5.38,26,20,97,,,-1
Tyler Johnstone,OT,Oregon,77,301,5.21,30.5,24,104,7.31,4.6,-1
Nila Kasitati,OG,Oklahoma,75,317,5.32,27.5,12,107,8.3,4.83,-1
Ryan Kelly,C,Alabama,76,311,5.03,30,26,103,7.58,4.59,18
